==========================================================
  Yasso07  Chain 3 / 5
  Run ID:  20260601_135824
  Started: 2026-06-01 19:46:10.94577
  Plots:   358 | Iter: 50000 | Cores: 11
==========================================================

Initial ll at best_x: -5200.527

[21:48:56]  eval 34200  |  ll:  -4880.748  |  4.64 eval/s  |  122.7 min  |  -Inf: 4
[21:49:36]  eval 34400  |  ll:  -4906.026  |  4.65 eval/s  |  123.4 min  |  -Inf: 5
[21:50:15]  eval 34600  |  ll:  -7936.555  |  4.65 eval/s  |  124.1 min  |  -Inf: 5
[21:50:55]  eval 34800  |  ll:  -5333.739  |  4.65 eval/s  |  124.7 min  |  -Inf: 5
[21:51:40]  eval 35000  |  ll: -11208.886  |  4.65 eval/s  |  125.5 min  |  -Inf: 5
[21:52:20]  eval 35200  |  ll:  -4886.260  |  4.65 eval/s  |  126.2 min  |  -Inf: 5
[21:53:00]  eval 35400  |  ll:  -5387.684  |  4.65 eval/s  |  126.8 min  |  -Inf: 5
[21:53:40]  eval 35600  |  ll:  -4943.241  |  4.65 eval/s  |  127.5 min  |  -Inf: 5
[21:54:19]  eval 35800  |  ll:  -4879.912  |  4.66 eval/s  |  128.1 min  |  -Inf: 5
[21:55:04]  eval 36000  |  ll:  -5036.346  |  4.65 eval/s  |  128.9 min  |  -Inf: 5
[21:55:44]  eval 36200  |  ll:  -4917.676  |  4.66 eval/s  |  129.6 min  |  -Inf: 5
[21:56:23]  eval 36400  |  ll:  -5024.114  |  4.66 eval/s  |  130.2 min  |  -Inf: 5
[21:57:03]  eval 36600  |  ll:  -4878.408  |  4.66 eval/s  |  130.9 min  |  -Inf: 5
[21:57:49]  eval 36800  |  ll:  -6372.381  |  4.66 eval/s  |  131.6 min  |  -Inf: 5
[21:58:31]  eval 37000  |  ll:  -5430.297  |  4.66 eval/s  |  132.3 min  |  -Inf: 5
[21:59:12]  eval 37200  |  ll:  -4923.505  |  4.66 eval/s  |  133.0 min  |  -Inf: 5
[21:59:53]  eval 37400  |  ll:  -5168.895  |  4.66 eval/s  |  133.7 min  |  -Inf: 5
[22:00:33]  eval 37600  |  ll:  -6986.644  |  4.66 eval/s  |  134.4 min  |  -Inf: 5
[22:01:18]  eval 37800  |  ll:  -5240.189  |  4.66 eval/s  |  135.1 min  |  -Inf: 5
[22:01:59]  eval 38000  |  ll:  -4930.628  |  4.66 eval/s  |  135.8 min  |  -Inf: 5
[22:02:40]  eval 38200  |  ll:  -5037.852  |  4.66 eval/s  |  136.5 min  |  -Inf: 5
[22:03:21]  eval 38400  |  ll:  -6000.447  |  4.67 eval/s  |  137.2 min  |  -Inf: 5
