"plot_id","x_KKJ","y_KKJ","x_ETRS","y_ETRS","lon_WGS84","lat_WGS84"
15433,3404947.397,6746469.406,404815.837867658,6743638.7422761,25.2500596136604,60.8166882802388
15434,3404971.643,6746881.79,404840.072172125,6744050.9605889,25.2503028999924,60.820393312494
15453,3420958.198,6746483.215,420820.201204299,6743652.6212396,25.5441678603929,60.8203220043872
15454,3420957.041,6746885.966,420819.042772431,6744055.21028269,25.5439823586,60.8239351094495
15472,3436948.904,6746076.094,436804.478696422,6743245.73920177,25.8381137674603,60.8195319291709
15474,3436973.271,6746882.803,436828.832106067,6744052.12388244,25.8382989771999,60.8267741491479
15493,3452952.964,6746477.495,452802.100119075,6743647.05387413,26.1320953496173,60.8253556420391
15494,3452955.626,6746881.769,452804.75915372,6744051.16527731,26.1320459534561,60.8289837097098
15514,3468945.841,6746880.927,468788.542145399,6744050.3984429,26.425977438862,60.8305535745551
15551,3500961.337,6745685.485,500791.162906744,6742855.58673116,27.0145461550065,60.8210513074311
15552,3500944.17,6746089.687,500774.000933462,6743259.62600335,27.0142322297046,60.8246788641872
15553,3500949.383,6746490.033,500779.209973276,6743659.81093143,27.0143296197667,60.8282717701772
15554,3500952.546,6746894.189,500782.369820818,6744063.80431697,27.0143893583577,60.8318988710353
15572,3516945.38,6746079.243,516768.771877035,6743249.26056324,27.3083385089867,60.824232849282
15573,3516961.919,6746474.198,516785.30238824,6743644.05669137,27.308676609069,60.8277766352607
15574,3516969.445,6746871.974,516792.8235141,6744041.67264247,27.3088493338809,60.83134611566
15591,3532953.452,6745671.207,532770.40302057,6742841.46300007,27.6024878010486,60.8195746843804
15592,3532951.55,6746068.193,532768.49994799,6743238.28920342,27.6025197988176,60.8231374081062
15593,3532965.083,6746471.216,532782.025635486,6743641.15004841,27.6028365297303,60.8267530345281
